encounter,is_cm,is_success,time,player,profession,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,stack_dist,downed,dead_duration,cleanses,above90%,log,role
Twin Largos CM,True,True,283,hurricanelimcy.6793,Mechanist,648,20.639,99.812,91.585,99.336,88.986,7.108,6.357,0,56.331,58.766,182508,1448.06311035156,0,0,27,85.1063829787234,"https://dps.report/t5lB-20231108-201032_twins
",aHeal
Twin Largos CM,True,True,288,hurricanelimcy.6793,Mechanist,774,22.019,99.656,84.114,97.97,92.961,8.225,16.97,0,54.716,59.401,200866,1427.501953125,0,0,27,98.2456140350877,"https://dps.report/2mWf-20231115-202555_twins
",aHeal
Dhuum,False,True,376,hurricanelimcy.6793,Mechanist,776,14.216,92.069,54.877,92.99,90.145,4.273,12.939,0,45.575,51.353,95166,606.053283691406,0,0,15,95.2380952380952,"https://dps.report/cS0L-20231122-222518_dhuum
",aHeal
Qadim CM,True,False,258,hurricanelimcy.6793,Mechanist,781,21.147,99.963,76.129,96.435,95.141,7.36,17.995,0,47.786,32.288,162678,655.141540527344,1,0,30,100,"https://dps.report/LPpX-20231122-225555_qadim
",aHeal
Twin Largos CM,True,True,282,hurricanelimcy.6793,Mechanist,788,22.128,99.335,83.543,99.75,98.529,9.272,13.546,2.116,62.011,80.199,220893,1495.70043945313,0,0,46,94.2307692307692,"https://dps.report/Bi4f-20231129-202107_twins
",aHeal
Qadim,False,True,415,hurricanelimcy.6793,Mechanist,863,19.305,95.568,72.834,97.631,90.476,5.932,14.547,0,47.725,47.492,222477,938.177368164063,0,0,43,87.2340425531915,"https://dps.report/iApK-20231122-231024_qadim
",aHeal
Dhuum,False,False,456,hurricanelimcy.6793,Mechanist,972,12.832,87.127,71.622,83.203,70.611,3.062,4.892,0,39.253,40.73,179950,672.3671875,0,20.97,17,90,"https://dps.report/4rWr-20231122-221143_dhuum
",aHeal
Slothasor,False,True,138,hurricanelimcy.6793,Mechanist,974,23.698,96.714,98.098,98.044,94.423,9.648,25.842,1.085,75.939,74.176,120338,134.716430664063,0,0,52,94.1176470588235,"https://dps.report/5J21-20231106-193024_sloth
",aHeal
Dhuum CM,True,False,237,Lorker Prime.5842,Druid,991,14.142,70.076,35.524,45.166,86.502,6.584,11.656,0,30.537,58.358,127245,712.714904785156,0,16,6,80,"https://dps.report/8Jhj-20231119-173439_dhuum
",aHeal
Dhuum,False,True,386,seb.2804,Chronomancer,1000,16.082,66.968,54.446,54.374,75.608,5.88,27.542,3.244,30.823,33.725,121435,609.07080078125,0,0,23,93.0635838150289,"https://dps.report/8Jvf-20231129-200510_dhuum
",aHeal
Dhuum,False,True,386,hurricanelimcy.6793,Mechanist,1031,16.317,90.258,62.344,91.26,63.15,4.068,14.352,0,58.288,28.656,140743,589.315490722656,0,0,10,85.3333333333333,"https://dps.report/8Jvf-20231129-200510_dhuum
",aHeal
Qadim CM,True,False,129,seb.2804,Druid,1084,21.957,99.917,53.737,97.326,88.565,8.741,33.582,0,29.788,38.565,72592,743.491149902344,1,67,21,85.7142857142857,"https://dps.report/ehpO-20231122-225027_qadim
",aHeal
Dhuum,False,True,328,Lorker Prime.5842,Druid,1107,19.632,93.939,50.49,66.061,90.301,9.447,17.739,0,47.121,67.592,158413,652.132141113281,0,0,7,73.4693877551021,"https://dps.report/f8w0-20231119-174054_dhuum
",aHeal
Conjured Amalgamate CM,True,True,178,hurricanelimcy.6793,Mechanist,1151,22.869,100,99.873,100,80.551,9.222,28.242,0,89.93,39.995,16904,238.670364379883,0,0,1,100,"https://dps.report/WR1a-20231115-201508_ca
",aHeal
Dhuum,False,True,345,seb.2804,Druid,1163,19.7,95.109,43.925,61.05,87.013,8.326,21.372,0,29.021,51.341,121183,623.41552734375,0,0,26,94.1176470588235,"https://dps.report/YV2O-20231115-200842_dhuum
",aHeal
Cardinal Adina CM,True,True,277,hurricanelimcy.6793,Mechanist,1195,22.445,96.949,96.424,97.505,93.483,10.291,14.93,0,78.707,79.521,153708,324.218719482422,0,0,3,100,"https://dps.report/zi9i-20231122-211448_adina
",aHeal
Qadim CM,True,True,447,hurricanelimcy.6793,Mechanist,1220,17.334,99.027,74.706,95.189,89.749,8.076,11.527,0,68.558,48.261,162684,860.962585449219,1,0,56,100,"https://dps.report/XkCr-20231129-203551_qadim
",aHeal
Slothasor,False,True,148,hurricanelimcy.6793,Mechanist,1223,20.732,99.199,92.199,99.646,99.309,10.382,22.062,0,72.273,76.671,144873,148.270095825195,0,0,81,92.5925925925926,"https://dps.report/9qWo-20231204-193033_sloth
",aHeal
Cardinal Sabir CM,True,True,249,hurricanelimcy.6793,Mechanist,1263,22.761,99.548,98.968,98.697,94.071,9.183,11.601,0,79.704,48.818,144978,156.714202880859,0,0,13,97.4025974025974,"https://dps.report/ldhw-20231122-210915_sabir
",aHeal
Cardinal Adina CM,True,True,277,seb.2804,Chronomancer,1268,22.997,93.991,95.943,85.67,96.873,12.404,39.128,0,67.774,64.478,126577,227.095184326172,0,0,6,99.1452991452992,"https://dps.report/P6C0-20231129-191420_adina
",aHeal
Qadim CM,True,True,429,hurricanelimcy.6793,Mechanist,1272,19.511,98.223,84.017,94.169,75.985,8.022,12.814,0,70.705,26.226,194411,858.166137695313,1,0,47,100,"https://dps.report/wO25-20231115-204219_qadim
",aHeal
Qadim CM,True,True,452,hurricanelimcy.6793,Mechanist,1288,17.525,84.253,69.145,94.831,94.572,8.025,17.915,0,57.618,33.067,123114,876.201416015625,0,0,31,100,"https://dps.report/UdAH-20231108-202158_qadim
",aHeal
Dhuum,False,True,345,hurricanelimcy.6793,Mechanist,1334,16.982,88.953,72.063,86.858,83.023,5.087,25.468,0,60.219,36.155,101186,574.588806152344,0,0,9,86.7647058823529,"https://dps.report/YV2O-20231115-200842_dhuum
",aHeal
Slothasor,False,True,137,hurricanelimcy.6793,Mechanist,1348,22.485,98.059,96.554,96.295,92.299,10.662,25.635,1.019,74.406,68.785,101186,117.578567504883,1,0,32,88.2978723404255,"https://dps.report/lvbt-20231120-203351_sloth
",aHeal
Cardinal Adina CM,True,True,277,hurricanelimcy.6793,Mechanist,1349,21.9,97.438,94.297,97.864,92.214,10.614,26.946,0,83.093,85.244,175334,253.202209472656,0,0,1,100,"https://dps.report/P6C0-20231129-191420_adina
",aHeal
Sabetha the Saboteur,False,True,216,Lorker Prime.5842,Scourge,1353,23.603,95.043,97.662,99.221,30.187,4.033,3.933,0,69.369,93.719,70366,534.571228027344,0,0,67,92.156862745098,"https://dps.report/moyp-20231119-190528_sab
",aHeal
Samarog CM,True,True,408,hurricanelimcy.6793,Mechanist,1376,20.797,99.46,98.607,99.134,94.917,11.849,15.214,0,86.928,49.259,268920,161.944564819336,0,0,0,94.392523364486,"https://dps.report/WlLu-20231120-215055_sam
",aHeal
Keep Construct CM,True,True,307,hurricanelimcy.6793,Mechanist,1428,20.573,99.581,91.975,99.581,97.89,11.364,46.376,0,84.32,59.746,84931,206.544342041016,0,0,26,100,"https://dps.report/rSRQ-20231106-200634_kc
",aHeal
Cardinal Sabir CM,True,True,237,hurricanelimcy.6793,Mechanist,1435,22.244,99.649,97.557,97.059,93.836,10.739,17.329,0,83.382,48.473,151089,169.764831542969,0,0,5,92.5373134328358,"https://dps.report/pfZq-20231115-191206_sabir
",aHeal
Vale Guardian,False,True,167,hurricanelimcy.6793,Mechanist,1443,21.322,96.036,89.061,98.016,98.878,11.66,28.238,0,73.96,81.545,95722,190.791046142578,0,0,0,78.2608695652174,"https://dps.report/zjNT-20231120-201055_vg
",aHeal
Soulless Horror CM,True,True,190,hurricanelimcy.6793,Mechanist,1445,21.351,88.916,91.644,93.808,79.743,7.599,6.675,0,82.021,55.659,285374,250.728561401367,1,100.53,18,100,"https://dps.report/yZ41-20231129-193854_sh
",aHeal
Qadim CM,True,True,447,seb.2804,Chronomancer,1456,14.736,91.116,83.767,85.679,87.219,3.213,9.411,0,50.197,53.059,117786,710.575256347656,0,0,76,98.2683982683983,"https://dps.report/XkCr-20231129-203551_qadim
",aHeal
Cardinal Sabir CM,True,True,257,seb.2804,Chronomancer,1464,23.237,98.737,99.743,88.231,98.61,12.035,32.879,0,83.578,84.383,170482,234.042175292969,0,0,25,81.8181818181818,"https://dps.report/SyM9-20231129-190727_sabir
",aHeal
Twin Largos CM,True,True,282,seb.2804,Chronomancer,1477,24.21,99.561,96.435,98.081,98.385,15.192,20.622,0,91.924,84.834,173276,1551.86059570313,0,0,52,87.1287128712871,"https://dps.report/Bi4f-20231129-202107_twins
",aHeal
Samarog CM,True,True,398,hurricanelimcy.6793,Mechanist,1485,20.779,99.58,99.327,99.208,97.576,8.713,9.951,0,79.839,62.255,232034,232.97998046875,0,0,4,93.3962264150943,"https://dps.report/HtZR-20231204-203453_sam
",aHeal
Samarog CM,True,True,408,hurricanelimcy.6793,Mechanist,1488,22.796,99.023,96.156,98.633,95.793,11.447,17.461,0,78.614,60.43,349993,164.849670410156,1,0,0,93.8053097345133,"https://dps.report/8c2d-20231127-203224_sam
",aHeal
Qadim,False,True,415,seb.2804,Druid,1497,21.879,97.193,81.732,82.23,99.062,8.782,27.781,0,46.989,45.144,190023,711.965454101563,0,0,103,95.5128205128205,"https://dps.report/iApK-20231122-231024_qadim
",aHeal
Matthias Gabrel,False,True,173,hurricanelimcy.6793,Mechanist,1505,23.94,94.729,98.862,99.026,97.016,11.269,21.505,0,81.937,62.581,88189,294.292999267578,0,0,36,93.75,"https://dps.report/vo7w-20231120-204739_matt
",aHeal
Qadim the Peerless CM,True,True,366,seb.2804,Chronomancer,1550,22.225,98.212,95.945,95.946,94.146,2.674,11.45,0,29.372,39.094,127241,423.901977539063,0,0,76,62.5,"https://dps.report/jXKY-20231129-192403_qpeer
",aHeal
Cairn CM,True,True,171,hurricanelimcy.6793,Mechanist,1552,23.73,100.013,51.945,99.742,99.495,12.978,31.925,0,85.49,80.435,42857,231.932159423828,0,0,7,100,"https://dps.report/uhnu-20231120-212922_cairn
",aHeal
Vale Guardian,False,True,159,hurricanelimcy.6793,Mechanist,1556,23.365,95.743,91.635,99.095,97.04,7.034,20.418,0,77.268,63.821,99443,191.664321899414,0,0,4,55,https://dps.report/E5J7-20231106-190622_vg,aHeal
Dhuum,False,False,158,Sashyca.8172,Scourge,1571,6.673,5.084,3.197,73.842,35.595,1.088,0,0,16.288,10.095,74084,1111.97033691406,0,0.02,3,100,"https://dps.report/J6ph-20231203-172208_dhuum
",aHeal
Vale Guardian,False,True,167,hurricanelimcy.6793,Mechanist,1578,22.346,98.694,85.233,98.496,97.179,11.666,24.715,0,77.792,60.986,97418,250.385437011719,0,0,0,88.2352941176471,"https://dps.report/Y3Uy-20231127-191251_vg
",aHeal
Cardinal Adina CM,True,True,286,seb.2804,Druid,1589,24.512,99.626,84.379,96.004,97.128,14.048,42.594,0,67.95,86.901,230214,261.481903076172,0,0,10,75,"https://dps.report/guuU-20231206-202603_adina
",aHeal
Soulless Horror CM,True,True,163,faight.3264,Firebrand,1613,23.258,99.075,95.584,98.214,94.616,7.153,12.873,88.656,0,19.74,202277,192.561233520508,0,0,4,86.6995073891626,"https://dps.report/RFQL-20231122-214245_sh
",qHeal
Dhuum,False,True,376,Sashyca.8172,Scourge,1614,4.988,31.582,19.057,84.563,22.917,0,0,0,19.821,0.565,170802,954.205139160156,0,0,2,76.6949152542373,"https://dps.report/cS0L-20231122-222518_dhuum
",aHeal
Cardinal Adina CM,True,True,277,seb.2804,Druid,1626,23.745,99.649,57.428,94.668,92.096,13.358,25.197,0,74.422,79.839,110476,285.410125732422,0,0,20,98.0769230769231,"https://dps.report/zi9i-20231122-211448_adina
",aHeal
Twin Largos CM,True,True,314,Lorker Prime.5842,Scourge,1634,23.817,96.559,86.704,98.388,96.43,6.744,8.085,0,82.35,68.939,216739,1546.09729003906,0,0,84,100,"https://dps.report/GNm4-20231119-164446_twins
",aHeal
Deimos CM,True,True,362,hurricanelimcy.6793,Mechanist,1638,18.257,98.57,92.715,99.415,93.102,8.221,11.007,0,70.015,50.479,140297,397.605316162109,0,0,2,100,"https://dps.report/2C5p-20231204-204458_dei
",aHeal
Cardinal Adina CM,True,True,247,Lorker Prime.5842,Scourge,1640,22.613,97.094,96.804,96.962,91.739,6.982,15.279,0,74.697,66.867,161931,285.217529296875,0,0,9,98.125,"https://dps.report/Rjgi-20231119-162035_adina
",aHeal
