,encounter,is_cm,is_success,time,player,profession,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,stack_dist,downed,cleanses,above90%,boon_out,primary role,secondary_role
0,Gorseval the Multifarious,False,True,133.0,WipZedKay.5316,Scourge,10392,24.206,99.393,75.863,99.36,56.817,10.295,0.0,0.0,78.302,48.44,58684,387.40277099609375,0,14,93.71428571428571,31835.55,heal,
1,Gorseval the Multifarious,False,True,133.0,Styx.3278,Catalyst,23065,24.386,98.531,98.453,99.36,69.035,3.99,16.284,3.382,3.946,13.693,89917,245.74337768554688,0,0,84.09506398537476,3944.8999999999996,dps,
2,Gorseval the Multifarious,False,True,133.0,Keesh.5960,Firebrand,13450,23.77,97.779,98.454,95.405,63.026,5.498,49.239,84.882,0.0,0.0,64675,224.9948272705078,0,7,97.44680851063829,36689.65,boon dps,
3,Gorseval the Multifarious,False,True,133.0,Morg.8143,Vindicator,20063,21.255,97.779,80.288,97.52,70.54,0.291,0.0,0.0,0.0,0.0,79706,187.49058532714844,0,0,70.18867924528301,14.549999999999999,dps,
4,Gorseval the Multifarious,False,True,133.0,yelle.7165,Virtuoso,20997,24.576,98.534,98.453,99.36,61.524,0.0,15.413,0.0,0.0,0.0,105427,245.8975067138672,0,2,74.84008528784648,770.65,dps,
5,Gorseval the Multifarious,False,True,133.0,Irda.4105,Herald,12091,24.55,98.808,96.884,99.36,89.925,8.006,26.508,83.293,12.739,22.064,54319,264.2347717285156,0,0,87.61609907120743,40138.50000000001,boon dps,
6,Gorseval the Multifarious,False,True,133.0,GoGo.8725,Reaper,17623,24.759,98.808,98.48,99.36,95.25,0.0,0.0,0.0,0.0,0.0,69347,175.99302673339844,0,0,97.24770642201835,0.0,dps,
7,Gorseval the Multifarious,False,True,133.0,Arikashin.2675,Virtuoso,18492,24.271,98.808,98.453,97.285,85.588,0.0,25.728,0.0,0.0,8.151,90475,253.1345672607422,0,0,81.97802197802197,1286.4,dps,
8,Gorseval the Multifarious,False,True,133.0,DARKstrider.7804,Mechanist,17455,24.186,98.808,96.499,98.808,85.59,0.836,26.642,0.0,0.0,0.0,65248,208.5708770751953,0,0,94.44444444444444,1373.8999999999999,dps,
9,Gorseval the Multifarious,False,True,133.0,Tarasicodissa.7084,Scourge,8386,24.443,98.808,96.499,99.239,86.415,12.058,0.0,0.0,75.052,52.914,51443,198.2195281982422,0,34,91.09947643979058,30623.7,heal,
0,Vale Guardian,False,True,152.0,WipZedKay.5316,Scourge,5587,24.148,99.653,75.741,99.966,91.903,11.231,0.0,0.0,75.028,78.084,130504,201.4001922607422,0,3,69.10994764397905,30572.750000000004,heal,
1,Vale Guardian,False,True,152.0,Styx.3278,Catalyst,24478,24.625,99.653,76.422,99.966,90.682,3.634,14.929,0.984,0.986,2.327,142618,214.37940979003906,0,0,81.26272912423626,1716.15,dps,
2,Vale Guardian,False,True,152.0,Keesh.5960,Firebrand,12400,24.32,99.653,99.717,99.966,91.529,4.618,43.359,68.82,0.0,0.0,144692,170.29458618164062,0,10,68.1159420289855,29926.849999999995,boon dps,
3,Vale Guardian,False,True,152.0,Morg.8143,Vindicator,19741,23.962,98.434,74.451,97.075,89.616,0.145,0.0,0.0,0.0,0.0,147084,173.9257354736328,1,0,79.51219512195122,7.249999999999999,dps,
