,encounter,is_cm,time,player,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,downed,cleanses,above90%,role,predicted_role,primary role,secondary role
3,Gorseval the Multifarious,FALSE,133,Morg.8143,20063,21.255,97.779,80.288,97.52,70.54,0.291,0,0,0,0,79706,0,0,70.188679245283,0,dps,DPS,
4,Gorseval the Multifarious,0,133,yelle.7165,20997,24.576,98.534,98.453,99.36,61.524,0,15.413,0,0,0,105427,0,2,74.8400852878465,0,dps,DPS,
6,Gorseval the Multifarious,0,133,GoGo.8725,17623,24.759,98.808,98.48,99.36,95.25,0,0,0,0,0,69347,0,0,97.2477064220184,0,dps,DPS,
7,Gorseval the Multifarious,FALSE,133,Arikashin.2675,18492,24.271,98.808,98.453,97.285,85.588,0,25.728,0,0,8.151,90475,0,0,81.978021978022,0,dps,DPS,
8,Gorseval the Multifarious,FALSE,133,DARKstrider.7804,17455,24.186,98.808,96.499,98.808,85.59,0.836,26.642,0,0,0,65248,0,0,94.4444444444444,0,dps,DPS,
3,Vale Guardian,FALSE,152,Morg.8143,19741,23.962,98.434,74.451,97.075,89.616,0.145,0,0,0,0,147084,1,0,79.5121951219512,0,dps,DPS,
4,Vale Guardian,FALSE,152,yelle.7165,16039,23.741,98.984,72.186,97.074,84.316,0,19.094,0,0,0.032,151420,0,1,87.8306878306878,0,dps,DPS,
6,Vale Guardian,FALSE,152,Arikashin.2675,16240,24.481,98.433,99.632,97.593,92.714,0,20.843,0,0,0,144140,0,4,86.4485981308411,0,dps,DPS,
7,Vale Guardian,FALSE,152,GoGo.8725,12628,24.5,98.204,97.023,97.318,91.949,4.755,0,0,0,0,147314,0,0,68.0365296803653,2,leftover/trash/whatever,DPS,
8,Vale Guardian,0,152,DARKstrider.7804,15816,24.753,99.646,99.967,99.302,81.294,1.853,0,0,0,0,149336,1,5,66.9491525423729,0,dps,DPS,
0,Matthias Gabrel,0,146,yelle.7165,23193,22.047,94.949,72.759,94.857,77.053,0,15.174,0,0,0,134543,1,20,88.0597014925373,0,dps,DPS,
2,Matthias Gabrel,0,146,Styx.3278,19702,22.19,96.3,79.176,91.398,71.737,0,13.398,0,0,0,133651,0,7,79.3363499245852,0,dps,DPS,
3,Matthias Gabrel,0,146,Morg.8143,28241,22.12,99,86.667,97.39,75.097,0,0,0,0,0,122976,1,3,73.7913486005089,0,dps,DPS,
5,Matthias Gabrel,0,146,Arikashin.2675,19462,23.668,97.638,93.43,96.061,67.13,0,21.599,0,0,0,121452,1,3,77.3675762439807,0,dps,DPS,
9,Matthias Gabrel,0,146,DARKstrider.7804,20417,23.702,98.332,97.205,96.061,70.902,0,18.082,0,0,0,116639,1,5,71.3235294117647,0,dps,DPS,
0,Slothasor,0,180,Styx.3278,17420,20.575,98.403,59.942,73.237,94.949,0,16.413,0,0,0,211209,0,45,59.9462365591398,0,dps,DPS,
1,Slothasor,0,180,yelle.7165,21573,23.931,97.609,90.516,93.873,98.558,0,12.86,0,0,0,227707,0,39,79.8802395209581,0,dps,DPS,
3,Slothasor,0,180,Morg.8143,11242,21.619,98.402,70.042,84.018,84.352,0.199,0,0,0,0,271618,3,11,59.5541401273885,2,leftover/trash/whatever,DPS,
5,Slothasor,0,180,Arikashin.2675,9579,20.947,97.117,85.889,90.099,77.202,0,17.168,0,0,0,319982,3,20,48.2897384305835,2,leftover/trash/whatever,DPS,
6,Slothasor,FALSE,180,DARKstrider.7804,8785,19.277,86.55,92.449,78.836,72.731,0,12.793,0,0,0,318341,2,0,31.7204301075269,2,leftover/trash/whatever,DPS,
8,Slothasor,FALSE,180,GoGo.8725,7714,20.586,86.014,82.853,75.856,56.062,0.219,0,0,0,0.44,379478,1,18,45.0757575757576,2,leftover/trash/whatever,DPS,
3,Xera,FALSE,294,yelle.7165,29,14.031,78.216,38.916,59.159,41.061,0.032,13.516,0,0,0.678,44266,0,1,100,2,leftover/trash/whatever,DPS,
4,Xera,FALSE,294,Morg.8143,0,15.014,80.155,37.756,59.945,60.055,0.16,0,0,0,0,59884,0,4,0,2,leftover/trash/whatever,DPS,
5,Xera,FALSE,294,Arikashin.2675,28,20.195,79.764,98.64,56.793,39.378,0,17.246,0,0,2.306,45449,0,11,100,2,leftover/trash/whatever,DPS,
7,Xera,FALSE,294,DARKstrider.7804,0,21.567,78.204,98.64,66.558,44.985,0.377,13.726,0,0,0,38749,0,0,0,2,leftover/trash/whatever,DPS,
8,Xera,FALSE,294,GoGo.8725,0,22.003,73.473,98.527,68.224,44.392,0,0,0,0,4.067,37128,0,3,0,2,leftover/trash/whatever,DPS,
1,Keep Construct CM,TRUE,300,yelle.7165,24305,18.565,99.118,67.712,93.209,63.903,0.15,19.241,0,0,0,233632,0,2,73.8011695906433,0,dps,DPS,
2,Keep Construct CM,TRUE,300,Morg.8143,23556,18.052,99.391,66.649,87.242,72.033,0.203,0,0,0,0,207600,0,0,83.0088495575221,0,dps,DPS,
5,Keep Construct CM,TRUE,300,Arikashin.2675,19090,21.991,99.152,98.888,88.166,53.693,0,28.13,0,0,0.666,173024,0,18,89.1283973758201,0,dps,DPS,
7,Keep Construct CM,TRUE,300,DARKstrider.7804,20685,23.178,96.845,98.993,92.48,49.096,0.871,23.051,0,0,0,184434,0,2,83.5858585858586,0,dps,DPS,
8,Keep Construct CM,TRUE,300,GoGo.8725,20113,22.193,97.864,98.889,93.568,51.069,0,0,0,0,4.258,214885,0,8,83.9024390243903,0,dps,DPS,
1,Deimos CM,TRUE,318,Morg.8143,436,20.632,99.134,93.728,83.821,38.322,0.456,0,0,0,0.157,221248,0,0,100,2,leftover/trash/whatever,DPS,
2,Deimos CM,TRUE,318,yelle.7165,0,20.568,99.134,73.626,94.805,29.599,0.069,14.212,0,0,0,211716,0,1,0,2,leftover/trash/whatever,DPS,
4,Deimos CM,TRUE,318,Styx.3278,150,21.308,99.134,94.455,84.734,23.068,3.024,7.736,0,0,0,184971,0,0,100,2,leftover/trash/whatever,DPS,
5,Deimos CM,TRUE,318,DARKstrider.7804,0,18.31,98.256,98.772,80.447,64.97,0.934,0,0,0,0.314,252903,1,0,0,2,leftover/trash/whatever,DPS,
6,Deimos CM,TRUE,318,GoGo.8725,43,19.442,98.46,89.71,77.564,47.016,0,14.847,0,0,0.944,269738,1,0,100,2,leftover/trash/whatever,DPS,
8,Deimos CM,TRUE,318,Arikashin.2675,34,16.653,98.46,77.296,61.491,47.184,0,12.259,0,0,0.786,232636,1,0,100,2,leftover/trash/whatever,DPS,
10,Deimos CM,TRUE,318,Shackled Prisoner,0,,,,,,0,0,0,0,0,252880,0,0,0,2,leftover/trash/whatever,Heal,
11,Deimos CM,TRUE,318,Saul D'Alessio,0,0.417,4.77,,5.209,3.535,0,0,0,0,0,0,0,0,0,2,leftover/trash/whatever,Heal,
1,Samarog CM,TRUE,357,yelle.7165,14846,23.082,99.243,89.789,99.029,50.809,0,19.946,0,0,0,266272,1,1,89.5857988165681,0,dps,DPS,
2,Samarog CM,TRUE,357,Morg.8143,15751,22.036,99.243,72.196,84.714,50.134,0.151,0,0,0,0,270153,0,1,77.0794824399261,0,dps,DPS,
4,Samarog CM,TRUE,357,Styx.3278,13305,22.838,99.242,86.414,95.772,49.88,2.66,10.619,0,0,0,281224,2,0,75,0,dps,DPS,
5,Samarog CM,TRUE,357,DARKstrider.7804,12099,23.946,99.616,99.763,97.329,34.013,0.306,19.144,0,0,0,244351,1,0,86.0103626943005,2,leftover/trash/whatever,DPS,
6,Samarog CM,TRUE,357,GoGo.8725,13715,22.98,99.616,99.101,79.606,34.111,0,18.715,0,0,0,207282,0,1,76.056338028169,0,dps,DPS,
8,Samarog CM,TRUE,357,Arikashin.2675,12062,23.565,99.616,100.003,85.772,25.719,0,16.713,0,0,0,268909,1,0,73.7193763919822,2,leftover/trash/whatever,DPS,
1,Mursaat Overseer CM,TRUE,130,yelle.7165,28688,24.685,99.263,97.355,98.977,36.7,0.047,21.199,0,0,0,106750,0,0,81.7555938037866,0,dps,DPS,
